what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1513172072505
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1513172072505
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1513172072505
os,sysinfo,,,"linux",1513172072507
arch,sysinfo,,,"x86_64",1513172072507
ws,sysinfo,,,"gtk",1513172072507
locale,sysinfo,,,"de_DE",1513172072507
processors,sysinfo,,,"4",1513172072507
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1513172072507
java.runtime.version,sysinfo,,,"1.7.0_151-b01",1513172072507
java.specification.name,sysinfo,,,"Java Platform API Specification",1513172072507
java.specification.vendor,sysinfo,,,"Oracle Corporation",1513172072507
java.specification.version,sysinfo,,,"1.7",1513172072507
java.vendor,sysinfo,,,"Oracle Corporation",1513172072507
java.version,sysinfo,,,"1.7.0_151",1513172072507
java.vm.info,sysinfo,,,"mixed mode",1513172072507
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1513172072507
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1513172072507
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1513172072507
java.vm.specification.version,sysinfo,,,"1.7",1513172072507
java.vm.vendor,sysinfo,,,"Oracle Corporation",1513172072507
java.vm.version,sysinfo,,,"24.151-b01",1513172072507
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1513172076900
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1513172078654
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1513172078696
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1513172078710
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1513172079232
error,log,,,"Unhandled event loop exception",1513172079236
error,log,,,"Unhandled event loop exception",1513172079647
error,log,,,"Unhandled event loop exception",1513172079655
error,log,,,"Unhandled event loop exception",1513172079665
error,log,,,"Unhandled event loop exception",1513172079683
error,log,,,"Unhandled event loop exception",1513172079695
error,log,,,"Unhandled event loop exception",1513172079705
error,log,,,"Unhandled event loop exception",1513172079713
error,log,,,"Unhandled event loop exception",1513172079717
error,log,,,"Unhandled event loop exception",1513172079721
error,log,,,"Unhandled event loop exception",1513172079723
error,log,,,"Unhandled event loop exception",1513172079726
error,log,,,"Unhandled event loop exception",1513172079730
error,log,,,"Unhandled event loop exception",1513172079732
error,log,,,"Unhandled event loop exception",1513172079736
